"user_id","entertainment","food_travel","places_of_stay","historical","nature","services","average_rating","overall_satisfaction"
"User 1",5,2.095,1.7,2.33,3.21,1.7,2.6725,"Medium"
"User 2",5,2.0975,1.7,2.33,3.30666666666667,1.7,2.68902777777778,"Medium"
"User 3",5,2.095,1.7,2.33,3.3,1.7,2.6875,"Medium"
"User 4",5,2.095,1.7,2.33,3.20333333333333,1.73,2.67638888888889,"Medium"
"User 5",5,2.095,1.7,2.33,3.3,1.7,2.6875,"Medium"
"User 6",5,2.0975,1.69,2.33,3.29666666666667,1.71,2.68736111111111,"Medium"
"User 7",4.015,2.09,3.345,2.335,3.20333333333333,1.73,2.78638888888889,"Medium"
"User 8",5,2.09,3.345,2.33,3.29666666666667,1.7,2.96027777777778,"Medium"
"User 9",4.015,2.08,3.34,2.92,3.3,1.71,2.89416666666667,"Medium"
"User 10",5,2.08,3.335,2.92,3.21,1.69,3.03916666666667,"High"
"User 11",5,2.075,1.67,2.92,3.31,1.67,2.77416666666667,"Medium"
"User 12",5,2.065,1.66,2.93,3.31333333333333,1.67,2.77305555555556,"Medium"
"User 13",5,1.96,1.65,2.93,3.31666666666667,1.67,2.75444444444444,"Medium"
"User 14",5,2.5525,1.65,2.93,3.21666666666667,1.65,2.83319444444444,"Medium"
"User 15",3.975,1.96,1.65,2.93,3.22,1.65,2.56416666666667,"Medium"
"User 16",3.975,1.8875,1.64,2.93,3.44333333333333,1.65,2.58763888888889,"Medium"
"User 17",2.96,1.8075,1.65,2.93,3.44,1.65,2.40625,"Medium"
"User 18",2.95,1.8075,1.65,2.93,3.45,1.65,2.40625,"Medium"
"User 19",2.955,1.8075,1.65,2.93,3.88333333333333,1.65,2.47930555555556,"Medium"
"User 20",2.945,1.8075,3.325,2.93,3.45,1.65,2.68458333333333,"Medium"
"User 21",2.945,1.8075,1.65,2.93,3.88333333333333,1.65,2.47763888888889,"Medium"
"User 22",2.94,1.73,3.32,2.93,3.88666666666667,1.65,2.74277777777778,"Medium"
"User 23",2.945,1.73,3.32,2.93,3.88666666666667,1.65,2.74361111111111,"Medium"
"User 24",2.95,1.7325,1.64,2.315,3.87666666666667,1.65,2.36069444444444,"Medium"
"User 25",2.95,1.8325,1.64,2.32,3.145,1.66,2.25791666666667,"Medium"
"User 26",2.945,1.83,1.64,2.35,3.31,1.66,2.28916666666667,"Medium"
"User 27",2.945,1.8325,1.64,2.35,3.145,1.66,2.26208333333333,"Medium"
"User 28",2.945,1.83,1.64,2.35,3.76666666666667,1.66,2.36527777777778,"Medium"
"User 29",2.945,1.8275,1.64,2.35,3.15,1.66,2.26208333333333,"Medium"
"User 30",2.95,1.8275,1.64,2.35,3.15,1.66,2.26291666666667,"Medium"
"User 31",2.945,1.8275,1.64,2.35,3.15,1.66,2.26208333333333,"Medium"
"User 32",2.945,1.8275,1.64,2.35,3.15,1.66,2.26208333333333,"Medium"
"User 33",2.945,1.8275,1.63,2.345,3.315,1.66,2.28708333333333,"Medium"
"User 34",2.95,1.8275,1.63,2.345,3.315,1.65,2.28625,"Medium"
"User 35",2.95,1.82,1.62,2.34,3.57,1.65,2.325,"Medium"
"User 36",2.95,1.815,1.62,2.36,3.365,1.65,2.29333333333333,"Medium"
"User 37",2.95,2.0375,1.61,2.335,4.14,1.64,2.45208333333333,"Medium"
"User 38",3.97,2.0275,1.61,2.3,3.88333333333333,1.63,2.57013888888889,"Medium"
"User 39",2.955,1.7925,1.6,2.3,3.89666666666667,1.63,2.36236111111111,"Medium"
"User 40",3.97,1.785,1.59,2.95,3.76666666666667,1.63,2.61527777777778,"Medium"
